conditional_welfare_mode,reference_dependent_altruism,min_max_rawlsian_leontief,include_welfare_efficiency_term,include_relative_income_penalty,use_exponential_parameters,apply_exponents_to_payoffs,uniform_exponential_parameter,single_payoffs_not_differences,payoff_ratios_not_differences,reference_dependent_utility,use_negativity_parameters,negativity_social_comparison,fix_self_interest_parameter,include_social_comparison,include_altruism_term,idx,n_data,k_params,pvar,param_norm_sd,loss,AIC,BIC,ΔAIC,ΔBIC,AIC_rank,BIC_rank,equation
False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,13,200,2,0.0,0.372260059185639,86.2903881361826,176.5807762723652,183.17741100546127,10.176294775651911,0.0,0,0,Uᵢ(A) = (πᵢᴬ)^γ₁ + Vᵢⱼ(πⱼᴬ)^γ₁
False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,19,200,4,0.0,0.23855609096278776,81.53200390624012,171.06400781248024,184.25727727867238,4.6595263157669535,1.0798662732111097,0,0,"Uᵢ(A) = Vᵢᵢ(πᵢᴬ)^γ₁ - αᵢⱼ × (max(πⱼᴬ - πᵢᴬ, 0)^γ₃ + max(πᵢᴬ - πⱼᴬ, 0)^γ₃)"
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,18,200,4,0.0,0.3091368574759368,81.56523543419237,171.13047086838475,184.32374033457688,4.72598937167146,1.1463293291156162,1,1,"Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ)^γ₁ - αᵢⱼ × (max(πⱼᴬ - πᵢᴬ, 0)^γ₃ + max(πᵢᴬ - πⱼᴬ, 0)^γ₃)"
False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,21,200,5,0.0,0.3176587717340122,79.25245620670415,168.5049124134083,184.9964992461485,2.100430916695018,1.819088240687222,0,0,"Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ)^γ₁ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₃ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₃"
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3,200,1,0.0,0.2820760669090518,90.48922057456886,182.97844114913772,186.27675851568577,16.573959652424435,3.0993475102245043,0,0,Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ)
False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,22,200,5,0.0,0.30367352965677175,80.27281810392651,170.54563620785302,187.0372230405932,4.141154711139734,3.859812035131938,1,1,"Uᵢ(A) = Vᵢᵢ(πᵢᴬ)^γ₁ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₃ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₃"
False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,9,200,2,0.0,0.2680407495585672,88.66388711309527,181.32777422619054,187.9244089592866,14.923292729477254,4.746997953825343,1,1,Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ)^γ₁
False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,10,200,2,0.0,0.4031607110249359,88.73911387286522,181.47822774573044,188.0748624788265,15.073746249017148,4.897451473365237,2,2,Uᵢ(A) = Vᵢᵢ(πᵢᴬ)^γ₁
False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,23,200,5,0.0,0.244558613314807,80.8399989038302,171.6799978076604,188.1715846404006,5.2755163109471255,4.9941736349393295,2,2,"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - πᵢᴮ, 0)^γ₁ - Ʌᵢᵢ × max(πᵢᴮ - πᵢᴬ, 0)^γ₁ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₁ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₁"
False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,27,200,7,0.0,0.24584376997521484,76.20224074835664,166.4044814967133,189.49270306254954,0.0,6.315292057088271,0,0,"Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ)^γ₁ + Vᵢⱼ(πⱼᴬ - πⱼᴮ)^γ₂ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₃ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₃"
False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,24,200,6,0.0,0.2946440055590618,79.20957876848871,170.41915753697742,190.20906173626565,4.014676040264135,7.031650730804387,0,0,"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - πᵢᴮ, 0)^γ₁ - Ʌᵢᵢ × max(πᵢᴮ - πᵢᴬ, 0)^γ₁ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0)^γ₃ - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)^γ₃"
