child_idx,parent_idx,k_child,k_parent,changed_utility_setting,loss_child,loss_parent,loss_parent_minus_child,equal_loss,equation_child,equation_parent,utility_settings_child,utility_settings_parent,n_players_evaluated,player_role,child_conditional_welfare_mode,child_reference_dependent_altruism,child_min_max_rawlsian_leontief,child_use_exponential_parameters,child_apply_exponents_to_payoffs,child_single_exponential_parameter,child_single_payoffs_not_differences,child_payoff_ratios_not_differences,child_reference_dependent_utility,child_use_negativity_parameters,child_negativity_social_comparison,child_fix_self_interest_parameter,child_include_social_comparison,child_include_altruism_term,parent_conditional_welfare_mode,parent_reference_dependent_altruism,parent_min_max_rawlsian_leontief,parent_use_exponential_parameters,parent_apply_exponents_to_payoffs,parent_single_exponential_parameter,parent_single_payoffs_not_differences,parent_payoff_ratios_not_differences,parent_reference_dependent_utility,parent_use_negativity_parameters,parent_negativity_social_comparison,parent_fix_self_interest_parameter,parent_include_social_comparison,parent_include_altruism_term,params_child,params_parent,Vᵢᵢ_child,Vᵢᵢ_parent,Ʌᵢᵢ_child,Ʌᵢᵢ_parent,Vᵢⱼ_child,Vᵢⱼ_parent,Ʌᵢⱼ_child,Ʌᵢⱼ_parent,Ƹᵢⱼ_child,Ƹᵢⱼ_parent,Ʒᵢⱼ_child,Ʒᵢⱼ_parent,γ1_child,γ1_parent,γ2_child,γ2_parent,γ3_child,γ3_parent,Vᵢᵢ_std_child,Vᵢᵢ_std_parent,Ʌᵢᵢ_std_child,Ʌᵢᵢ_std_parent,Vᵢⱼ_std_child,Vᵢⱼ_std_parent,Ʌᵢⱼ_std_child,Ʌᵢⱼ_std_parent,Ƹᵢⱼ_std_child,Ƹᵢⱼ_std_parent,Ʒᵢⱼ_std_child,Ʒᵢⱼ_std_parent,γ1_std_child,γ1_std_parent,γ2_std_child,γ2_std_parent,γ3_std_child,γ3_std_parent
339,268,0,2,use_exponential_parameters,0.0,0.0,0.0,True,Uᵢ(A) = πᵢᴬ - 3,Uᵢ(A) = (πᵢᴬ - 3)^γ₁,"(False, False, False, False, False, True, False, False, True, False, False, True, False, False)","(False, False, False, True, False, True, False, False, True, False, False, True, False, False)",0,chooser,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,"{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': None, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': None, 'γ2_std': None, 'γ3_std': None}","{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 1.0, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 1.0, 'γ2_std': None, 'γ3_std': None}",,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
340,227,0,2,use_exponential_parameters,0.0,0.0,0.0,True,Uᵢ(A) = πᵢᴬ,Uᵢ(A) = (πᵢᴬ)^γ₁,"(False, False, False, False, False, True, True, False, False, False, False, True, False, False)","(False, False, False, True, False, True, True, False, False, False, False, True, False, False)",0,chooser,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,"{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': None, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': None, 'γ2_std': None, 'γ3_std': None}","{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 1.0, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 1.0, 'γ2_std': None, 'γ3_std': None}",,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
431,260,0,2,use_exponential_parameters,0.0,0.0,0.0,True,Uᵢ(A) = [πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2],Uᵢ(A) = [πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2]^γ₁,"(False, False, False, False, False, True, False, True, False, False, False, True, False, False)","(False, False, False, True, False, True, False, True, False, False, False, True, False, False)",0,chooser,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,"{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': None, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': None, 'γ2_std': None, 'γ3_std': None}","{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 1.0, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 1.0, 'γ2_std': None, 'γ3_std': None}",,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
462,332,0,2,use_exponential_parameters,0.0,0.0,0.0,True,Uᵢ(A) = [πᵢᴬ / (πᵢᴬ + 3) - 1/2],Uᵢ(A) = [πᵢᴬ / (πᵢᴬ + 3) - 1/2]^γ₁,"(False, False, False, False, False, True, False, True, True, False, False, True, False, False)","(False, False, False, True, False, True, False, True, True, False, False, True, False, False)",0,chooser,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,"{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': None, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': None, 'γ2_std': None, 'γ3_std': None}","{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 1.0, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 1.0, 'γ2_std': None, 'γ3_std': None}",,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
475,289,0,2,use_exponential_parameters,0.0,0.0,0.0,True,Uᵢ(A) = πᵢᴬ - πᵢᴮ,Uᵢ(A) = (πᵢᴬ - πᵢᴮ)^γ₁,"(False, False, False, False, False, True, False, False, False, False, False, True, False, False)","(False, False, False, True, False, True, False, False, False, False, False, True, False, False)",0,chooser,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,"{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': None, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': None, 'γ2_std': None, 'γ3_std': None}","{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 1.0, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 1.0, 'γ2_std': None, 'γ3_std': None}",,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
219,211,2,4,fix_self_interest_parameter,0.0,0.0,0.0,True,Uᵢ(A) = (πᵢᴬ^γ₁ - πᵢᴮ^γ₁),Uᵢ(A) = Vᵢᵢ(πᵢᴬ^γ₁ - πᵢᴮ^γ₁),"(False, False, False, True, True, True, False, False, False, False, False, True, False, False)","(False, False, False, True, True, True, False, False, False, False, False, False, False, False)",0,chooser,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,"{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 1.151957223019818, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 0.8556431624339291, 'γ2_std': None, 'γ3_std': None}","{'Vᵢᵢ': 1.0, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 1.151957223019818, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': 2.005, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 0.8556431624339291, 'γ2_std': None, 'γ3_std': None}",,1.0,,,,,,,,,,,1.151957223019818,1.151957223019818,,,,,,2.005,,,,,,,,,,,0.8556431624339291,0.8556431624339291,,,,
219,177,2,4,include_social_comparison,0.0,0.0,0.0,True,Uᵢ(A) = (πᵢᴬ^γ₁ - πᵢᴮ^γ₁),"Uᵢ(A) = (πᵢᴬ^γ₁ - πᵢᴮ^γ₁) - Ƹᵢⱼ × (max(πⱼᴬ^γ₁ - πᵢᴬ^γ₁, 0) + max(πᵢᴬ^γ₁ - πⱼᴬ^γ₁, 0))","(False, False, False, True, True, True, False, False, False, False, False, True, False, False)","(False, False, False, True, True, True, False, False, False, False, False, True, True, False)",0,chooser,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,"{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 0.7819372433674155, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 0.5043036071921311, 'γ2_std': None, 'γ3_std': None}","{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': 0.0, 'Ʒᵢⱼ': None, 'γ1': 0.7819372433674155, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': 2.005, 'Ʒᵢⱼ_std': None, 'γ1_std': 0.5043036071921311, 'γ2_std': None, 'γ3_std': None}",,,,,,,,,,0.0,,,0.7819372433674155,0.7819372433674155,,,,,,,,,,,,,,2.005,,,0.5043036071921311,0.5043036071921311,,,,
219,120,2,4,include_altruism_term,0.0,0.0,0.0,True,Uᵢ(A) = (πᵢᴬ^γ₁ - πᵢᴮ^γ₁),Uᵢ(A) = (πᵢᴬ^γ₁ - πᵢᴮ^γ₁) + Vᵢⱼ(πⱼᴬ^γ₁ - πⱼᴮ^γ₁),"(False, False, False, True, True, True, False, False, False, False, False, True, False, False)","(False, False, False, True, True, True, False, False, False, False, False, True, False, True)",0,chooser,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,"{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 0.7538930358366651, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 0.16381053614993515, 'γ2_std': None, 'γ3_std': None}","{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': 0.0, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 0.7538930358366651, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': 2.005, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 0.16381053614993515, 'γ2_std': None, 'γ3_std': None}",,,,,,0.0,,,,,,,0.7538930358366651,0.7538930358366651,,,,,,,,,,2.005,,,,,,,0.16381053614993515,0.16381053614993515,,,,
227,220,2,4,fix_self_interest_parameter,0.0,0.0,0.0,True,Uᵢ(A) = (πᵢᴬ)^γ₁,Uᵢ(A) = Vᵢᵢ(πᵢᴬ)^γ₁,"(False, False, False, True, False, True, True, False, False, False, False, True, False, False)","(False, False, False, True, False, True, True, False, False, False, False, False, False, False)",0,chooser,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,"{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 1.6805406499243276, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 0.9011704849967698, 'γ2_std': None, 'γ3_std': None}","{'Vᵢᵢ': 1.0, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 1.6805406499243276, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': 2.005, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 0.9011704849967698, 'γ2_std': None, 'γ3_std': None}",,1.0,,,,,,,,,,,1.6805406499243276,1.6805406499243276,,,,,,2.005,,,,,,,,,,,0.9011704849967698,0.9011704849967698,,,,
227,128,2,4,include_altruism_term,0.0,0.0,0.0,True,Uᵢ(A) = (πᵢᴬ)^γ₁,Uᵢ(A) = (πᵢᴬ)^γ₁ + Vᵢⱼ(πⱼᴬ)^γ₁,"(False, False, False, True, False, True, True, False, False, False, False, True, False, False)","(False, False, False, True, False, True, True, False, False, False, False, True, False, True)",0,chooser,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,"{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': None, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 0.7030111494088406, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': None, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 0.05897029805455236, 'γ2_std': None, 'γ3_std': None}","{'Vᵢᵢ': None, 'Ʌᵢᵢ': None, 'Vᵢⱼ': 0.0, 'Ʌᵢⱼ': None, 'Ƹᵢⱼ': None, 'Ʒᵢⱼ': None, 'γ1': 0.7030111494088406, 'γ2': None, 'γ3': None, 'Vᵢᵢ_std': None, 'Ʌᵢᵢ_std': None, 'Vᵢⱼ_std': 2.005, 'Ʌᵢⱼ_std': None, 'Ƹᵢⱼ_std': None, 'Ʒᵢⱼ_std': None, 'γ1_std': 0.05897029805455236, 'γ2_std': None, 'γ3_std': None}",,,,,,0.0,,,,,,,0.7030111494088406,0.7030111494088406,,,,,,,,,,2.005,,,,,,,0.05897029805455236,0.05897029805455236,,,,
