edge_type,flip_name,differing_feature,delta,m_true,m_false,a_model_id,b_model_id,a_k_params,b_k_params,a_conditional_welfare_mode,a_reference_dependent_altruism,a_min_max_rawlsian_leontief,a_include_welfare_efficiency_term,a_include_relative_income_penalty,a_use_exponential_parameters,a_apply_exponents_to_payoffs,a_single_exponential_parameter,a_single_payoffs_not_differences,a_payoff_ratios_not_differences,a_reference_dependent_utility,a_use_negativity_parameters,a_negativity_social_comparison,a_fix_self_interest_parameter,a_include_social_comparison,a_include_altruism_term,b_conditional_welfare_mode,b_reference_dependent_altruism,b_min_max_rawlsian_leontief,b_include_welfare_efficiency_term,b_include_relative_income_penalty,b_use_exponential_parameters,b_apply_exponents_to_payoffs,b_single_exponential_parameter,b_single_payoffs_not_differences,b_payoff_ratios_not_differences,b_reference_dependent_utility,b_use_negativity_parameters,b_negativity_social_comparison,b_fix_self_interest_parameter,b_include_social_comparison,b_include_altruism_term
sibling,single_payoffs_not_differences,single_payoffs_not_differences,13.582174318585942,21.0,4.0,4,21,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
sibling,reference_dependent_utility,reference_dependent_utility,13.58118091644775,20.0,4.0,4,20,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
sibling,single_payoffs_not_differences,single_payoffs_not_differences,0.1504535195398944,7.0,6.0,6,7,2,2,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
sibling,reference_dependent_utility,reference_dependent_utility,7.9590035200826605,22.0,13.0,13,22,3,3,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False
sibling,payoff_ratios_not_differences,payoff_ratios_not_differences,14.033377170699083,25.0,13.0,13,25,3,3,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False
sibling,single_payoffs_not_differences,single_payoffs_not_differences,-0.0664630559044781,1.0,2.0,2,1,4,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
sibling,reference_dependent_utility,reference_dependent_utility,14.068583308018162,17.0,2.0,2,17,4,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
sibling,single_payoffs_not_differences,single_payoffs_not_differences,2.040723794444716,5.0,3.0,3,5,5,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
sibling,reference_dependent_utility,reference_dependent_utility,6.190999578627213,16.0,10.0,10,16,6,6,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False
sibling,payoff_ratios_not_differences,payoff_ratios_not_differences,30.79711542125125,27.0,10.0,10,27,6,6,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False
