round,n_data,param,corr,ci_lower,ci_upper
0,49,Vᵢᵢ,,,
0,49,Vᵢᵢ_std,,,
0,49,Vᵢⱼ,1.0188505272445987e-17,-0.2812014759230219,0.28120147592302186
0,49,Vᵢⱼ_std,,,
0,0,τ,,,
1,49,Vᵢᵢ,,,
1,49,Vᵢᵢ_std,,,
1,49,Vᵢⱼ,-1.508318889070556e-17,-0.2812014759230219,0.28120147592302186
1,49,Vᵢⱼ_std,,,
1,49,τ,,,
2,49,Vᵢᵢ,,,
2,49,Vᵢᵢ_std,,,
2,49,Vᵢⱼ,0.44026896653124187,0.18154333279287158,0.6419894044230133
2,49,Vᵢⱼ_std,,,
2,49,τ,,,
3,49,Vᵢᵢ,,,
3,49,Vᵢᵢ_std,,,
3,49,Vᵢⱼ,0.6100001581886775,0.3968759894558104,0.7607141037480052
3,49,Vᵢⱼ_std,,,
3,49,τ,,,
4,49,Vᵢᵢ,,,
4,49,Vᵢᵢ_std,,,
4,49,Vᵢⱼ,0.6672091890421941,0.47515671519265856,0.7985807735596958
4,49,Vᵢⱼ_std,,,
4,49,τ,,,
5,49,Vᵢᵢ,,,
5,49,Vᵢᵢ_std,,,
5,49,Vᵢⱼ,0.6886376071241515,0.5052819065613644,0.812501491190885
5,49,Vᵢⱼ_std,,,
5,49,τ,,,
6,49,Vᵢᵢ,,,
6,49,Vᵢᵢ_std,,,
6,49,Vᵢⱼ,0.7674950291450496,0.6201305937319169,0.862542046630985
6,49,Vᵢⱼ_std,,,
6,49,τ,,,
7,49,Vᵢᵢ,,,
7,49,Vᵢᵢ_std,,,
7,49,Vᵢⱼ,0.8845266316211804,0.8030738772205791,0.9335308082246841
7,49,Vᵢⱼ_std,,,
7,49,τ,,,
8,49,Vᵢᵢ,,,
8,49,Vᵢᵢ_std,,,
8,49,Vᵢⱼ,0.9024008338638047,0.8324351411921012,0.9440448447753116
8,49,Vᵢⱼ_std,,,
8,49,τ,,,
9,49,Vᵢᵢ,,,
9,49,Vᵢᵢ_std,,,
9,49,Vᵢⱼ,0.9413071481751583,0.89773282003696,0.9666415460611295
9,49,Vᵢⱼ_std,,,
9,49,τ,,,
10,49,Vᵢᵢ,,,
10,49,Vᵢᵢ_std,,,
10,49,Vᵢⱼ,0.9461645780648762,0.9060218923833749,0.9694353080173616
10,49,Vᵢⱼ_std,,,
10,49,τ,,,
11,49,Vᵢᵢ,,,
11,49,Vᵢᵢ_std,,,
11,49,Vᵢⱼ,0.9504911979010834,0.913431175027299,0.971918702149271
11,49,Vᵢⱼ_std,,,
11,49,τ,,,
12,49,Vᵢᵢ,,,
12,49,Vᵢᵢ_std,,,
12,49,Vᵢⱼ,0.953141561833859,0.917982055563958,0.973437604829341
12,49,Vᵢⱼ_std,,,
12,49,τ,,,
13,49,Vᵢᵢ,,,
13,49,Vᵢᵢ_std,,,
13,49,Vᵢⱼ,0.9576779137847777,0.925792866863107,0.9760332131927016
13,49,Vᵢⱼ_std,,,
13,49,τ,,,
14,49,Vᵢᵢ,,,
14,49,Vᵢᵢ_std,,,
14,49,Vᵢⱼ,0.9711664780569672,0.9491797801012549,0.9837203678445697
14,49,Vᵢⱼ_std,,,
14,49,τ,,,
15,49,Vᵢᵢ,,,
15,49,Vᵢᵢ_std,,,
15,49,Vᵢⱼ,0.9735722453257901,0.9533766491742982,0.9850866076561623
15,49,Vᵢⱼ_std,,,
15,49,τ,,,
16,49,Vᵢᵢ,,,
16,49,Vᵢᵢ_std,,,
16,49,Vᵢⱼ,0.9759428697130834,0.9575198669279577,0.9864314709120703
16,49,Vᵢⱼ_std,,,
16,49,τ,,,
17,49,Vᵢᵢ,,,
17,49,Vᵢᵢ_std,,,
17,49,Vᵢⱼ,0.9772281456147196,0.9597693700215715,0.987160024283888
17,49,Vᵢⱼ_std,,,
17,49,τ,,,
18,49,Vᵢᵢ,,,
18,49,Vᵢᵢ_std,,,
18,49,Vᵢⱼ,0.9756845724474079,0.9570680628169427,0.9862850062970916
18,49,Vᵢⱼ_std,,,
18,49,τ,,,
19,49,Vᵢᵢ,,,
19,49,Vᵢᵢ_std,,,
19,49,Vᵢⱼ,0.9775451872669428,0.9603246043798758,0.9873396745288203
19,49,Vᵢⱼ_std,,,
19,49,τ,,,
20,49,Vᵢᵢ,,,
20,49,Vᵢᵢ_std,,,
20,49,Vᵢⱼ,0.9810611526373084,0.9664912722557264,0.9893302976186479
20,49,Vᵢⱼ_std,,,
20,49,τ,,,
21,49,Vᵢᵢ,,,
21,49,Vᵢᵢ_std,,,
21,49,Vᵢⱼ,0.9809541480021043,0.9663033478951675,0.9892697606583897
21,49,Vᵢⱼ_std,,,
21,49,τ,,,
22,49,Vᵢᵢ,,,
22,49,Vᵢᵢ_std,,,
22,49,Vᵢⱼ,0.9817900694073717,0.9677718307712297,0.989742600105242
22,49,Vᵢⱼ_std,,,
22,49,τ,,,
23,49,Vᵢᵢ,,,
23,49,Vᵢᵢ_std,,,
23,49,Vᵢⱼ,0.9805376553937953,0.9655720412677102,0.9890341063260646
23,49,Vᵢⱼ_std,,,
23,49,τ,,,
