round,n_data,param,corr,ci_lower,ci_upper
0,49,Vᵢᵢ,,,
0,49,Vᵢᵢ_std,,,
0,73,Vᵢⱼ,-0.12365215175934224,-0.34393885188168954,0.10953535348531898
0,73,Vᵢⱼ_std,,,
0,8,Ƹᵢⱼ,0.09300400863939938,-0.6545767873935917,0.7486217524963245
0,8,Ƹᵢⱼ_std,0.6170428355575029,-0.15506201748373585,0.9211785171940593
0,16,γ1,0.36702165617687554,-0.15731216796017528,0.7299325261850549
0,16,γ1_std,0.05287045107293748,-0.4547610465118233,0.534572927146859
0,73,τ,0.8173405403257666,0.7232794625389891,0.8816252281784243
1,49,Vᵢᵢ,,,
1,49,Vᵢᵢ_std,,,
1,49,Vᵢⱼ,-0.12650631983681246,-0.39370232231783336,0.16040123162143233
1,49,Vᵢⱼ_std,,,
1,0,Ƹᵢⱼ,,,
1,0,Ƹᵢⱼ_std,,,
1,0,γ1,,,
1,0,γ1_std,,,
1,73,τ,0.8173405403257666,0.7232794625389891,0.8816252281784243
2,49,Vᵢᵢ,,,
2,49,Vᵢᵢ_std,,,
2,49,Vᵢⱼ,0.36169819184577046,0.08961106299973551,0.5835470583122131
2,49,Vᵢⱼ_std,,,
2,0,Ƹᵢⱼ,,,
2,0,Ƹᵢⱼ_std,,,
2,0,γ1,,,
2,0,γ1_std,,,
2,73,τ,0.8173405403257666,0.7232794625389891,0.8816252281784243
3,49,Vᵢᵢ,,,
3,49,Vᵢᵢ_std,,,
3,49,Vᵢⱼ,0.4578096503125799,0.20270357352931728,0.6547240768539003
3,49,Vᵢⱼ_std,,,
3,0,Ƹᵢⱼ,,,
3,0,Ƹᵢⱼ_std,,,
3,0,γ1,,,
3,0,γ1_std,,,
3,73,τ,0.8173405403257666,0.7232794625389891,0.8816252281784243
4,49,Vᵢᵢ,,,
4,49,Vᵢᵢ_std,,,
4,49,Vᵢⱼ,0.6593171134105157,0.4641739213282164,0.7934181198263219
4,49,Vᵢⱼ_std,,,
4,0,Ƹᵢⱼ,,,
4,0,Ƹᵢⱼ_std,,,
4,0,γ1,,,
4,0,γ1_std,,,
4,73,τ,0.8173405403257666,0.7232794625389891,0.8816252281784243
5,49,Vᵢᵢ,,,
5,49,Vᵢᵢ_std,,,
5,49,Vᵢⱼ,0.7366678092824108,0.5744687210911222,0.8431988861114439
5,49,Vᵢⱼ_std,,,
5,0,Ƹᵢⱼ,,,
5,0,Ƹᵢⱼ_std,,,
5,0,γ1,,,
5,0,γ1_std,,,
5,73,τ,0.8173405403257666,0.7232794625389891,0.8816252281784243
6,49,Vᵢᵢ,,,
6,49,Vᵢᵢ_std,,,
6,49,Vᵢⱼ,0.8055715847900249,0.6779431623711654,0.8860565211996541
6,49,Vᵢⱼ_std,,,
6,0,Ƹᵢⱼ,,,
6,0,Ƹᵢⱼ_std,,,
6,0,γ1,,,
6,0,γ1_std,,,
6,73,τ,0.8173405403257666,0.7232794625389891,0.8816252281784243
7,49,Vᵢᵢ,,,
7,49,Vᵢᵢ_std,,,
7,49,Vᵢⱼ,0.8504914592020127,0.7482382293679252,0.9132746652165173
7,49,Vᵢⱼ_std,,,
7,0,Ƹᵢⱼ,,,
7,0,Ƹᵢⱼ_std,,,
7,0,γ1,,,
7,0,γ1_std,,,
7,73,τ,0.8173405403257666,0.7232794625389891,0.8816252281784243
8,49,Vᵢᵢ,,,
8,49,Vᵢᵢ_std,,,
8,49,Vᵢⱼ,0.8642491910609056,0.7702369826143031,0.9215001838393719
8,49,Vᵢⱼ_std,,,
8,0,Ƹᵢⱼ,,,
8,0,Ƹᵢⱼ_std,,,
8,0,γ1,,,
8,0,γ1_std,,,
8,49,τ,,,
9,49,Vᵢᵢ,,,
9,49,Vᵢᵢ_std,,,
9,49,Vᵢⱼ,0.867687517997923,0.7757700681561845,0.9235479113967975
9,49,Vᵢⱼ_std,,,
9,0,Ƹᵢⱼ,,,
9,0,Ƹᵢⱼ_std,,,
9,0,γ1,,,
9,0,γ1_std,,,
9,49,τ,,,
10,49,Vᵢᵢ,,,
10,49,Vᵢᵢ_std,,,
10,49,Vᵢⱼ,0.8861316133916252,0.8056942544792699,0.9344783547600027
10,49,Vᵢⱼ_std,,,
10,0,Ƹᵢⱼ,,,
10,0,Ƹᵢⱼ_std,,,
10,0,γ1,,,
10,0,γ1_std,,,
10,49,τ,,,
11,49,Vᵢᵢ,,,
11,49,Vᵢᵢ_std,,,
11,49,Vᵢⱼ,0.8822913989213581,0.7994297604971486,0.9322100334036704
11,49,Vᵢⱼ_std,,,
11,0,Ƹᵢⱼ,,,
11,0,Ƹᵢⱼ_std,,,
11,0,γ1,,,
11,0,γ1_std,,,
11,49,τ,,,
12,49,Vᵢᵢ,,,
12,49,Vᵢᵢ_std,,,
12,49,Vᵢⱼ,0.9079099955139928,0.8415647350965281,0.9472684916839235
12,49,Vᵢⱼ_std,,,
12,0,Ƹᵢⱼ,,,
12,0,Ƹᵢⱼ_std,,,
12,0,γ1,,,
12,0,γ1_std,,,
12,49,τ,,,
13,49,Vᵢᵢ,,,
13,49,Vᵢᵢ_std,,,
13,49,Vᵢⱼ,0.9208016425745331,0.8630774969297135,0.9547809432501518
13,49,Vᵢⱼ_std,,,
13,0,Ƹᵢⱼ,,,
13,0,Ƹᵢⱼ_std,,,
13,0,γ1,,,
13,0,γ1_std,,,
13,49,τ,,,
14,49,Vᵢᵢ,,,
14,49,Vᵢᵢ_std,,,
14,49,Vᵢⱼ,0.9237625888664005,0.8680482914348481,0.9565002932655902
14,49,Vᵢⱼ_std,,,
14,0,Ƹᵢⱼ,,,
14,0,Ƹᵢⱼ_std,,,
14,0,γ1,,,
14,0,γ1_std,,,
14,49,τ,,,
15,49,Vᵢᵢ,,,
15,49,Vᵢᵢ_std,,,
15,49,Vᵢⱼ,0.9229158620775275,0.86662567725925,0.9560088515447783
15,49,Vᵢⱼ_std,,,
15,0,Ƹᵢⱼ,,,
15,0,Ƹᵢⱼ_std,,,
15,0,γ1,,,
15,0,γ1_std,,,
15,49,τ,,,
