dyad_key,player_uuid_predictor,player_uuid_chooser,round,Vᵢᵢ_true_predictor,Vᵢᵢ_std_true_predictor,Vᵢⱼ_true_predictor,Vᵢⱼ_std_true_predictor,τ_true_predictor,n_games_true_predictor,Vᵢᵢ_true_chooser,Vᵢᵢ_std_true_chooser,Vᵢⱼ_true_chooser,Vᵢⱼ_std_true_chooser,τ_true_chooser,n_games_true_chooser,Vᵢᵢ_fitted_predictor,Vᵢⱼ_fitted_predictor,Vᵢᵢ_std_fitted_predictor,Vᵢⱼ_std_fitted_predictor,τ_fitted_predictor,Vᵢᵢ_sim_pred_predictor,Vᵢⱼ_sim_pred_predictor,Vᵢᵢ_std_sim_pred_predictor,Vᵢⱼ_std_sim_pred_predictor,Vᵢᵢ_Vᵢⱼ_cov_fitted_predictor,Vᵢᵢ_Vᵢⱼ_cov_sim_pred_predictor,τ_sim_pred_predictor
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",0,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6482478955082916,-0.8957660288196722,0.17580358581447417,1.399616954839064,0.5,1.0,-0.3333,1.0,1.0,,,
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",1,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6473165180585578,-0.1727242193312667,0.1744226825827106,0.6054245769458703,0.5,0.3333649360912315,-0.11699735838697858,0.5445305289916571,0.588442673071798,8.673617379884035e-19,-1.214306433183765e-17,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",2,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6534156502815542,-0.15806047407887003,0.17024799232227955,0.6032506199563753,0.5,0.6097885562883358,-0.04100275553706251,0.3290794917020911,0.5879880838392062,-0.0037548805007518444,-0.04148626528215593,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",3,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6565703343709102,-0.16831291353510444,0.16791005407905465,0.5980815625809325,0.5,0.6710048972054916,-0.10868242168066691,0.27756539741341757,0.567722348659206,-0.0010535003541869376,-0.0035564366420737896,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",4,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6573193007474702,-0.5620424286452169,0.16744554473999101,0.3304408017891464,0.5,0.6739130316751878,-0.505252912826777,0.27592187452284733,0.32840802869510294,-0.002206309010608689,-0.010668279533646817,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",5,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6438170627018673,-0.7026997890203648,0.16515810371716588,0.25811354673383297,0.5,0.63516610444902,-0.6559108337665627,0.27668959114658565,0.27069361064093483,-0.006960462457417547,-0.02533247635403752,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",6,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.633952731017422,-0.7794185235171749,0.1632058096055452,0.2097795778245547,0.5,0.6061354929298558,-0.732328023018816,0.27516911229567415,0.23805864692970818,-0.009023883789751313,-0.03246937900723899,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",7,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6336584381668344,-0.7978386300695794,0.1628076028263255,0.19859471263718706,0.5,0.6072134623292129,-0.7534996704772838,0.27404605728922543,0.2270960498967389,-0.008625194187770727,-0.03102374315946687,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",8,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.642664306593209,-0.7955253493648273,0.15832187142485812,0.1985188902933294,0.5,0.653135306598671,-0.7619270341000252,0.24967713661610264,0.22179036456453655,-0.009058244503902232,-0.02872675717766484,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",9,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6502950125993756,-0.7985751066643207,0.15711053559048882,0.19686321931673503,0.5,0.6750349816870619,-0.773385717407002,0.24257473022130552,0.2156033288047609,-0.008692765731386835,-0.025962509200434396,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",10,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6504423648646714,-0.7986662254678387,0.1569729404052776,0.1967948935369118,0.5,0.6770482739231078,-0.774734446071785,0.24066893335634565,0.21442411996494612,-0.00866128604959319,-0.025278764591052945,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",11,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6577299934156048,-0.8014720805789715,0.15585952325754893,0.19527423118366338,0.5,0.6958119474996041,-0.7840108609366042,0.23452942351973502,0.20927883197389716,-0.00834962392990855,-0.02310922651832964,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",12,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6579263761875666,-0.801719235305067,0.1557274319572095,0.19507517259439147,0.5,0.6969527941157855,-0.7850773352644034,0.23370974467728994,0.2083088843882618,-0.008288411971704358,-0.02268665083829196,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",13,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6581632778857325,-0.8028172278529344,0.15566458002475597,0.19386480742060713,0.5,0.697749044516567,-0.7867146385549628,0.23335934349884915,0.20655048242194818,-0.00817123012932953,-0.022305022484837074,0.5
"(robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14, robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14)","robot_predictor_Vii=(1.0,1.0)_Vij=(-0.333,1.0)_t=0.5_n=24~1-11.00.5_14","robot_chooser_Vii=(1.0,1.0)_Vij=(-1.0,1.0)_t=0.5_n=24~101.00.5_14",14,1.0,1.0,-0.333,1.0,0.5,24,1.0,1.0,-1.0,1.0,0.5,24,0.6587092107336612,-0.8046481969850408,0.15549917964271393,0.19245508747483978,0.5,0.69969677446021,-0.7896961146772898,0.23244439641419334,0.20404091120517778,-0.007971070683414206,-0.02155347186668645,0.5
