utility_idx,utility_bitstring,k_params,conditional_welfare_mode,reference_dependent_altruism,min_max_rawlsian_leontief,include_welfare_efficiency_term,include_relative_income_penalty,use_exponential_parameters,apply_exponents_to_payoffs,single_exponential_parameter,single_payoffs_not_differences,payoff_ratios_not_differences,reference_dependent_utility,use_negativity_parameters,negativity_social_comparison,fix_self_interest_parameter,include_social_comparison,include_altruism_term,redundant_with,differing_settings,n_data,pvar,param_norm_sd,loss_nll,AIC,BIC,ΔAIC,ΔBIC,AIC_rank,BIC_rank,parents,siblings,children,ampd_to_best_rand,ampd_to_best_real,policy_regret_norm,equation
0,0010-0000-0000-1000,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,"(0,)",(),6880.0,0.0,,4628.606466643927,9257.212933287854,9257.212933287854,4192.0699458096105,4144.215328293119,4.0,4.0,"[5, 21, 26, 33]","[1, 2, 3]",[],,,,Uᵢ(A) = πᵢᴬ - πᵢᴮ
1,0010-0000-0000-1100,0,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,"(1,)",(),6880.0,0.0,,3865.1880130739096,7730.376026147819,7730.376026147819,2665.233038669576,2617.378421153084,1.0,1.0,"[6, 22, 27, 34]",[0],[],,,,Uᵢ(A) = πᵢᴬ
2,0010-0000-0001-1000,0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,"(2,)",(),6880.0,0.0,,3865.188013073909,7730.376026147818,7730.376026147818,2665.233038669575,2617.378421153083,0.0,0.0,"[7, 23, 28, 35]","[0, 4]",[],,,,Uᵢ(A) = πᵢᴬ - 3
3,0010-0000-0100-1000,0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,"(3,)",(),6880.0,0.0,,4231.780747985363,8463.561495970725,8463.561495970725,3398.418508492482,3350.56389097599,2.0,2.0,"[8, 24, 29, 36]","[0, 4]",[],,,,Uᵢ(A) = [πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2]
4,0010-0000-0101-1000,0,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,"(4,)",(),6880.0,0.0,,4366.561083811999,8733.122167623998,8733.122167623998,3667.979180145755,3620.124562629263,3.0,3.0,"[9, 25, 30, 37]","[2, 3]",[],,,,Uᵢ(A) = [πᵢᴬ / (πᵢᴬ + 3) - 1/2]
5,0000-0000-0000-1000,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,"(5,)",(),6880.0,2.2369067250083524e-06,0.2064844703836087,3332.854298398671,6667.708596797342,6674.544970728269,1602.5656093190985,1561.5473657335333,3.0,3.0,"[42, 43, 57, 70]","[6, 7, 8]",[0],,,,Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ)
6,0000-0000-0000-1100,1,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,"(6,)",(),6880.0,6.015344260263032e-06,0.2341690806437994,3513.6939798188746,7029.387959637749,7036.224333568676,1964.2449721595056,1923.2267285739408,7.0,7.0,"[44, 58, 71]",[5],[1],,,,Uᵢ(A) = Vᵢᵢ(πᵢᴬ)
7,0000-0000-0001-1000,1,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,"(7,)",(),6880.0,6.090945793717396e-06,0.2341041881122803,3513.693777244536,7029.3875544890725,7036.22392842,1964.244567010829,1923.226323425264,6.0,6.0,"[45, 46, 59, 72]","[5, 9]",[2],,,,Uᵢ(A) = Vᵢᵢ(πᵢᴬ - 3)
8,0000-0000-0100-1000,1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,"(8,)",(),6880.0,5.044824161954067e-06,0.3018115651717441,4209.597004111392,8421.194008222783,8428.03038215371,3356.0510207445395,3315.0327771589755,23.0,23.0,"[47, 48, 60, 73]","[5, 9]",[3],,,,Uᵢ(A) = Vᵢᵢ[πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2]
9,0000-0000-0101-1000,1,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,"(9,)",(),6880.0,7.832976384100609e-06,0.3058644794022236,4355.29877902198,8712.597558043959,8719.433931974887,3647.454570565716,3606.436326980152,29.0,29.0,"[49, 50, 61, 74]","[7, 8]",[4],,,,Uᵢ(A) = Vᵢᵢ[πᵢᴬ / (πᵢᴬ + 3) - 1/2]
10,0000-0010-0000-1100,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,"(10,)",(),,,,,,,,,,,"[56, 67]",[],[],,,,Uᵢ(A) = (1 - Vᵢᵢ)πᵢᴬ + Vᵢᵢ × ((πᵢᴬ + πⱼᴬ)/2)
11,0000-0101-0000-1000,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,"(11,)",(),6880.0,4.45686969416043e-06,0.2047639854641393,3572.578714689917,7147.157429379835,7153.993803310762,2082.0144419015915,2040.9961983160265,12.0,12.0,[62],"[12, 13, 14, 16]",[],,,,"Uᵢ(A) = Vᵢⱼ × max(πᵢᴬ - πᵢᴮ, πⱼᴬ - πⱼᴮ)"
12,0000-0101-0000-1100,1,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,"(12,)",(),6880.0,8.502611794717649e-06,0.2342336825587921,3988.30226959448,7978.60453918896,7985.440913119887,2913.461551710717,2872.443308125152,17.0,17.0,[63],"[11, 17]",[],,,,"Uᵢ(A) = Vᵢⱼ × max(πᵢᴬ, πⱼᴬ)"
13,0000-0101-0001-1000,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,"(13,)",(),6880.0,8.945305479463514e-06,0.2341018641534641,3988.3023476895874,7978.604695379175,7985.441069310102,2913.4617079009317,2872.4434643153663,18.0,18.0,[64],"[11, 15, 18]",[],,,,"Uᵢ(A) = Vᵢⱼ × max(πᵢᴬ - 3, πⱼᴬ - 3)"
