M,player_uuid,assigned_utility_idx,assigned_model_rank_for_player,assigned_model_delta_score_for_player,assigned_model_AMPD_to_population_winner,assigned_model_AMPD_to_nearest_selected_model
1,01b850cc-9ba8-4d0b-8eba-bec734ed8847,443,3,0.7377941162697397,,
1,07a438e9-aa3f-4527-9b48-0fa70da416ea,443,3,0.5295263134278017,,
1,1cb23b61-3bc7-407e-a336-da5fb6b028d6,443,1,0.0,,
1,217d2378-37bb-4c23-8bf4-9ba78d98057c,443,4,0.7094890203366191,,
1,23c1011e-9d47-4bab-a443-2d015c3a9763,443,1,0.0,,
1,2934f282-0d0b-4fc2-b5f7-b08b87dc5ee4,443,7,4.245443419315659,,
1,33656bfb-1891-49d7-a90d-e4e7f76ac224,443,3,0.369565318197143,,
1,343c5729-33c1-4072-84bc-ed3729393070,443,3,1.7205421850961642,,
1,35a84119-3ccc-4cbf-b1a6-cdd2ffce0f26,443,5,1.1122750047334549,,
1,3c48f1f3-63f8-4276-b96c-fc478c875973,443,1,0.0,,
1,3da44645-45e9-49a7-9542-cc0450611e8a,443,4,1.293748771551769,,
1,40a1ce31-46db-4b7a-ac08-7ecbe1520bb1,443,1,0.0,,
1,44598db2-2243-45c1-8ba8-5a8ebaa0b042,443,5,5.223398114698561,,
1,44997a74-c08b-467a-b3c9-7492a6bde261,443,1,0.0,,
1,494b4d83-17c7-46b3-9454-5c34553457b3,443,5,4.414582186698759,,
1,4983457d-3147-4672-b739-bdd182435dc3,443,8,0.9810867465911848,,
1,4b435301-7cee-4b7c-9fb9-5a6ec11858a4,443,8,7.152423787673008,,
1,4e5b71b2-e421-4f67-bb5b-eff1c81af7c7,443,1,0.0,,
1,4e6fbdd5-31f9-458d-8cc0-2e7ab78019e6,443,4,3.1354480530903572,,
1,510d16e8-9e24-4546-8797-cbdc39924d91,443,3,1.4564609894151204,,
1,529617ea-891a-4d2c-9f81-db3f760683e0,443,1,0.0,,
1,549d277d-29a4-4b0a-9cd8-310574b2a1b9,443,3,2.9131579036175026,,
1,56027b3d-3ca9-40ca-832e-81829060f9c2,443,1,0.0,,
1,62e8e482-fd0c-41fb-9545-ce34df030212,443,1,0.0,,
1,65a66864-4e73-4e0b-81f3-d96191245fdb,443,1,0.0,,
1,68482f96-f50f-4380-8c56-4a35105ce2f5,443,5,2.8449642918073117,,
1,6e731a78-fc8b-45a4-9b45-70bfad691b5a,443,4,1.6579740110543746,,
1,76580d50-ff14-4de9-9ed1-c2783f23e0e6,443,1,0.0,,
1,77c58d68-8844-4481-8b54-aaaa442736eb,443,6,2.2240436034394833,,
1,7db5fea5-5140-4efe-b9ba-0fdb4f342ed9,443,3,1.7828276875481777,,
1,8002fc3a-fd31-4553-a3d0-f9075f13995c,443,1,0.0,,
1,810f029d-7872-4868-81d8-4aebb7405b8a,443,1,0.0,,
1,831b4607-e88d-4b93-9fbf-81dde8a6737d,443,1,0.0,,
1,8e19ce2e-c87f-48f0-8bfc-7683d9b2e4dd,443,1,0.0,,
1,8fbe86f3-d5f0-457a-804b-c29f5bc2e109,443,5,8.016174180334787,,
1,9c620637-9e65-4bc5-9b31-6c412bf03294,443,3,6.087382134668786,,
1,a274c52d-824b-47fa-8f72-0edaea00d8f9,443,1,0.0,,
1,a35a2a09-0e5b-4c89-b416-0180cdf67736,443,1,0.0,,
1,a3929227-0c7a-4e37-adad-c3b3fea0f881,443,1,0.0,,
1,a4108716-78db-4322-84e0-c54f5e34e8e9,443,3,1.1490604549862056,,
1,a7129ad1-6672-400a-ac03-bb3bf99deb5c,443,3,0.18237111066577327,,
1,a938ea1e-48db-4c14-9854-4393446cdddc,443,15,11.024312903686635,,
1,ac225116-14bc-429f-b2d5-8c4643505c01,443,6,9.847210064124752,,
1,ae8ba20e-3a55-4f87-8cb0-316556432bd6,443,1,0.0,,
1,aefcca1e-95c0-4e2d-9a5e-cb8576cac72d,443,1,0.0,,
1,af7365d7-bf9f-4f1b-a07c-fe9639bb7735,443,1,0.0,,
1,b19d3db0-5631-4177-af52-32b44b4c6ee4,443,1,0.0,,
1,b4487ef7-4685-480b-b488-3ee0e7308c21,443,15,5.957200835154261,,
1,b9cad2fe-91ea-4850-9eba-4e5012f57013,443,1,0.0,,
1,ba89ee93-22db-46a7-843b-82800ff2fce2,443,1,0.0,,
1,bbbae001-3deb-4cbd-bbf8-7bd5418ef05c,443,1,0.0,,
1,bdfdd850-de7a-4964-bdcd-73d10a3026f5,443,11,3.549223959007758,,
1,bf1ced06-3c98-481a-b525-b0ff789e92c2,443,1,0.0,,
1,bf3de0a4-d976-479b-b106-0fe02de0903b,443,12,9.318214205032323,,
1,c19e100c-c620-4ed1-b9f7-aef47c913450,443,13,8.766341453313313,,
1,c265c297-690b-47dd-9c02-a4c2d03a49f2,443,3,2.695795274073589,,
1,c8fd32a8-bd36-4574-9359-072a968da39f,443,1,0.0,,
1,cd659fba-2baf-40e1-a208-ab9a60636521,443,3,0.84206892867806,,
1,d383d0be-6c2c-4b5a-9fae-b7bd10e621a3,443,15,14.541711021084552,,
1,d46081e5-af46-4b37-b1de-79015b143ff4,443,1,0.0,,
1,d6b4e2dd-f69d-4974-b77e-a4eae15dcc82,443,5,2.012861683302745,,
1,d742aaf4-cd8b-4631-914d-0438d3db4ab1,443,3,2.5952676107120567,,
1,d8a1740b-9f41-4a3d-826b-ce0dc4d28c97,443,1,0.0,,
1,d8c5d3eb-c11c-4209-aa4d-8fa881c9e2ce,443,3,0.27442372992097575,,
1,db7d9540-da55-477e-8ad5-2be5182831db,443,1,0.0,,
1,df775165-5082-4930-a0ba-c05f72b10370,443,3,1.8795014742416853,,
1,ed9b60ed-b3a8-44ac-a0ca-fca1d3647529,443,1,0.0,,
1,f049716e-aacd-4457-afcb-0636b5697eb6,443,1,0.0,,
1,f4a44a9d-ee80-4a13-8598-29f022b0996a,443,3,2.59781567188827,,
1,f6dd399c-3af0-4223-ac97-9568124101f9,443,1,0.0,,
1,f7c97106-afa2-4709-b205-ea7ffd67ec68,443,3,7.954954225005174,,
1,fc30395b-b577-4be9-85be-371608b26596,443,1,0.0,,
1,fcbe283a-22d2-4985-9328-44a2507b5447,443,4,2.6789400177689764,,
2,01b850cc-9ba8-4d0b-8eba-bec734ed8847,455,1,0.0,,
2,07a438e9-aa3f-4527-9b48-0fa70da416ea,455,2,0.5107150337129625,,
2,1cb23b61-3bc7-407e-a336-da5fb6b028d6,443,1,0.0,,
2,217d2378-37bb-4c23-8bf4-9ba78d98057c,455,2,0.5386326123034877,,
2,23c1011e-9d47-4bab-a443-2d015c3a9763,443,1,0.0,,
2,2934f282-0d0b-4fc2-b5f7-b08b87dc5ee4,455,2,0.45304161612416394,,
2,33656bfb-1891-49d7-a90d-e4e7f76ac224,443,3,0.369565318197143,,
2,343c5729-33c1-4072-84bc-ed3729393070,455,2,0.8700811661979486,,
2,35a84119-3ccc-4cbf-b1a6-cdd2ffce0f26,455,3,0.1357749905302974,,
2,3c48f1f3-63f8-4276-b96c-fc478c875973,443,1,0.0,,
2,3da44645-45e9-49a7-9542-cc0450611e8a,455,3,0.2665892012003752,,
2,40a1ce31-46db-4b7a-ac08-7ecbe1520bb1,443,1,0.0,,
2,44598db2-2243-45c1-8ba8-5a8ebaa0b042,455,3,3.4144924377743173,,
2,44997a74-c08b-467a-b3c9-7492a6bde261,443,1,0.0,,
2,494b4d83-17c7-46b3-9454-5c34553457b3,455,2,0.47238551091010805,,
2,4983457d-3147-4672-b739-bdd182435dc3,455,5,0.3799333084639045,,
2,4b435301-7cee-4b7c-9fb9-5a6ec11858a4,455,2,0.9221656875181026,,
2,4e5b71b2-e421-4f67-bb5b-eff1c81af7c7,443,1,0.0,,
2,4e6fbdd5-31f9-458d-8cc0-2e7ab78019e6,455,2,0.660976968289674,,
2,510d16e8-9e24-4546-8797-cbdc39924d91,455,2,0.42599250202871985,,
2,529617ea-891a-4d2c-9f81-db3f760683e0,443,1,0.0,,
2,549d277d-29a4-4b0a-9cd8-310574b2a1b9,455,2,0.2650478135707459,,
2,56027b3d-3ca9-40ca-832e-81829060f9c2,443,1,0.0,,
2,62e8e482-fd0c-41fb-9545-ce34df030212,443,1,0.0,,
2,65a66864-4e73-4e0b-81f3-d96191245fdb,443,1,0.0,,
2,68482f96-f50f-4380-8c56-4a35105ce2f5,455,1,0.0,,
2,6e731a78-fc8b-45a4-9b45-70bfad691b5a,455,2,0.5472158245133905,,
2,76580d50-ff14-4de9-9ed1-c2783f23e0e6,443,1,0.0,,
2,77c58d68-8844-4481-8b54-aaaa442736eb,455,2,0.9966200525116591,,
2,7db5fea5-5140-4efe-b9ba-0fdb4f342ed9,455,2,0.07396413670331015,,
2,8002fc3a-fd31-4553-a3d0-f9075f13995c,443,1,0.0,,
2,810f029d-7872-4868-81d8-4aebb7405b8a,443,1,0.0,,
2,831b4607-e88d-4b93-9fbf-81dde8a6737d,443,1,0.0,,
2,8e19ce2e-c87f-48f0-8bfc-7683d9b2e4dd,443,1,0.0,,
2,8fbe86f3-d5f0-457a-804b-c29f5bc2e109,455,2,0.06750927005160534,,
2,9c620637-9e65-4bc5-9b31-6c412bf03294,455,1,0.0,,
2,a274c52d-824b-47fa-8f72-0edaea00d8f9,443,1,0.0,,
2,a35a2a09-0e5b-4c89-b416-0180cdf67736,443,1,0.0,,
2,a3929227-0c7a-4e37-adad-c3b3fea0f881,443,1,0.0,,
2,a4108716-78db-4322-84e0-c54f5e34e8e9,455,2,0.24530255080352248,,
2,a7129ad1-6672-400a-ac03-bb3bf99deb5c,455,2,0.10140483495626995,,
2,a938ea1e-48db-4c14-9854-4393446cdddc,455,2,0.5005706770550589,,
2,ac225116-14bc-429f-b2d5-8c4643505c01,455,1,0.0,,
2,ae8ba20e-3a55-4f87-8cb0-316556432bd6,443,1,0.0,,
2,aefcca1e-95c0-4e2d-9a5e-cb8576cac72d,443,1,0.0,,
2,af7365d7-bf9f-4f1b-a07c-fe9639bb7735,443,1,0.0,,
2,b19d3db0-5631-4177-af52-32b44b4c6ee4,443,1,0.0,,
2,b4487ef7-4685-480b-b488-3ee0e7308c21,455,2,0.1618130831681981,,
2,b9cad2fe-91ea-4850-9eba-4e5012f57013,443,1,0.0,,
2,ba89ee93-22db-46a7-843b-82800ff2fce2,443,1,0.0,,
2,bbbae001-3deb-4cbd-bbf8-7bd5418ef05c,443,1,0.0,,
2,bdfdd850-de7a-4964-bdcd-73d10a3026f5,455,1,0.0,,
2,bf1ced06-3c98-481a-b525-b0ff789e92c2,443,1,0.0,,
2,bf3de0a4-d976-479b-b106-0fe02de0903b,455,6,2.8390223513706303,,
2,c19e100c-c620-4ed1-b9f7-aef47c913450,455,3,0.3614843965380494,,
2,c265c297-690b-47dd-9c02-a4c2d03a49f2,455,1,0.0,,
2,c8fd32a8-bd36-4574-9359-072a968da39f,443,1,0.0,,
2,cd659fba-2baf-40e1-a208-ab9a60636521,455,2,0.27323330259679324,,
2,d383d0be-6c2c-4b5a-9fae-b7bd10e621a3,455,9,7.436282049781944,,
2,d46081e5-af46-4b37-b1de-79015b143ff4,443,1,0.0,,
2,d6b4e2dd-f69d-4974-b77e-a4eae15dcc82,455,1,0.0,,
2,d742aaf4-cd8b-4631-914d-0438d3db4ab1,455,1,0.0,,
2,d8a1740b-9f41-4a3d-826b-ce0dc4d28c97,443,1,0.0,,
2,d8c5d3eb-c11c-4209-aa4d-8fa881c9e2ce,443,3,0.27442372992097575,,
2,db7d9540-da55-477e-8ad5-2be5182831db,443,1,0.0,,
2,df775165-5082-4930-a0ba-c05f72b10370,455,2,0.17945290287553917,,
2,ed9b60ed-b3a8-44ac-a0ca-fca1d3647529,443,1,0.0,,
2,f049716e-aacd-4457-afcb-0636b5697eb6,443,1,0.0,,
2,f4a44a9d-ee80-4a13-8598-29f022b0996a,455,1,0.0,,
2,f6dd399c-3af0-4223-ac97-9568124101f9,443,1,0.0,,
2,f7c97106-afa2-4709-b205-ea7ffd67ec68,455,2,0.2341829933006352,,
2,fc30395b-b577-4be9-85be-371608b26596,443,1,0.0,,
2,fcbe283a-22d2-4985-9328-44a2507b5447,455,2,0.30565149841585537,,
