utility_idx,conditional_welfare_mode,reference_dependent_altruism,min_max_rawlsian_leontief,include_welfare_efficiency_term,include_relative_income_penalty,use_exponential_parameters,apply_exponents_to_payoffs,single_exponential_parameter,single_payoffs_not_differences,payoff_ratios_not_differences,reference_dependent_utility,use_negativity_parameters,negativity_social_comparison,fix_self_interest_parameter,include_social_comparison,include_altruism_term,equation_count,redundant_with,differing_settings,equation
0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,"(0,)",(),Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ)
1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1,"(1,)",(),"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - πᵢᴮ, 0) - Ʌᵢᵢ × max(πᵢᴮ - πᵢᴬ, 0)"
2,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,1,"(2,)",(),Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ)^γ₁
3,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,1,"(3,)",(),"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - πᵢᴮ, 0)^γ₁ - Ʌᵢᵢ × max(πᵢᴮ - πᵢᴬ, 0)^γ₁"
4,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,1,"(4,)",(),Uᵢ(A) = Vᵢᵢ(πᵢᴬ)
5,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,1,"(5,)",(),Uᵢ(A) = Vᵢᵢ(πᵢᴬ)^γ₁
6,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,1,"(6,)",(),Uᵢ(A) = Vᵢᵢ(πᵢᴬ - 3)
7,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,1,"(7,)",(),"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - 3, 0) - Ʌᵢᵢ × max(3 - πᵢᴬ, 0)"
8,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,1,"(8,)",(),Uᵢ(A) = Vᵢᵢ(πᵢᴬ - 3)^γ₁
9,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,1,"(9,)",(),"Uᵢ(A) = Vᵢᵢ × max(πᵢᴬ - 3, 0)^γ₁ - Ʌᵢᵢ × max(3 - πᵢᴬ, 0)^γ₁"
10,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,1,"(10,)",(),Uᵢ(A) = Vᵢᵢ[πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2]
11,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,1,"(11,)",(),"Uᵢ(A) = Vᵢᵢ × max([πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2], 0) - Ʌᵢᵢ × max([πᵢᴮ / (πᵢᴮ + πᵢᴬ) - 1/2], 0)"
12,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,1,"(12,)",(),Uᵢ(A) = Vᵢᵢ[πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2]^γ₁
13,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,1,"(13,)",(),"Uᵢ(A) = Vᵢᵢ × max([πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2], 0)^γ₁ - Ʌᵢᵢ × max([πᵢᴮ / (πᵢᴮ + πᵢᴬ) - 1/2], 0)^γ₁"
14,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,1,"(14,)",(),Uᵢ(A) = Vᵢᵢ[πᵢᴬ / (πᵢᴬ + 3) - 1/2]
15,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,1,"(15,)",(),"Uᵢ(A) = Vᵢᵢ × max([πᵢᴬ / (πᵢᴬ + 3) - 1/2], 0) - Ʌᵢᵢ × max([3 / (3 + πᵢᴬ) - 1/2], 0)"
16,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,1,"(16,)",(),Uᵢ(A) = Vᵢᵢ[πᵢᴬ / (πᵢᴬ + 3) - 1/2]^γ₁
17,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,1,"(17,)",(),"Uᵢ(A) = Vᵢᵢ × max([πᵢᴬ / (πᵢᴬ + 3) - 1/2], 0)^γ₁ - Ʌᵢᵢ × max([3 / (3 + πᵢᴬ) - 1/2], 0)^γ₁"
18,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1,"(18,)",(),"Uᵢ(A) = max(Vᵢᵢ × (πᵢᴬ - πᵢᴮ), Vᵢⱼ × (πⱼᴬ - πⱼᴮ))"
19,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,1,"(19,)",(),"Uᵢ(A) = max(Vᵢᵢ × ((max(πᵢᴬ - πᵢᴮ, 0)^γ₁ - max(-(πᵢᴬ - πᵢᴮ), 0)^γ₁)), Vᵢⱼ × ((max(πⱼᴬ - πⱼᴮ, 0)^γ₁ - max(-(πⱼᴬ - πⱼᴮ), 0)^γ₁)))"
20,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,1,"(20,)",(),"Uᵢ(A) = max(Vᵢᵢ × (πᵢᴬ), Vᵢⱼ × (πⱼᴬ))"
21,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,1,"(21,)",(),"Uᵢ(A) = max(Vᵢᵢ × ((πᵢᴬ^γ₁), Vᵢⱼ × ((πⱼᴬ^γ₁))"
22,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,1,"(22,)",(),"Uᵢ(A) = max(Vᵢᵢ × (πᵢᴬ - 3), Vᵢⱼ × (πⱼᴬ - 3))"
23,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,1,"(23,)",(),"Uᵢ(A) = max(Vᵢᵢ × ((max(πᵢᴬ - 3, 0)^γ₁ - max(-(πᵢᴬ - 3), 0)^γ₁)), Vᵢⱼ × ((max(πⱼᴬ - 3, 0)^γ₁ - max(-(πⱼᴬ - 3), 0)^γ₁)))"
24,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,1,"(24,)",(),"Uᵢ(A) = max(Vᵢᵢ × (πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2), Vᵢⱼ × (πⱼᴬ / (πⱼᴬ + πⱼᴮ) - 1/2))"
25,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,1,"(25,)",(),"Uᵢ(A) = max(Vᵢᵢ × ((πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2)^γ₁), Vᵢⱼ × ((πⱼᴬ / (πⱼᴬ + πⱼᴮ) - 1/2)^γ₁))"
26,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,1,"(26,)",(),"Uᵢ(A) = max(Vᵢᵢ × (πᵢᴬ / (πᵢᴬ + 3) - 1/2), Vᵢⱼ × (πⱼᴬ / (πⱼᴬ + 3) - 1/2))"
27,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,1,"(27,)",(),"Uᵢ(A) = max(Vᵢᵢ × ((πᵢᴬ / (πᵢᴬ + 3) - 1/2)^γ₁), Vᵢⱼ × ((πⱼᴬ / (πⱼᴬ + 3) - 1/2)^γ₁))"
28,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,1,"(28,)",(),Uᵢ(A) = (1 - Vᵢᵢ)πᵢᴬ + Vᵢᵢ × ((πᵢᴬ + πⱼᴬ)/2)
29,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,1,"(29,)",(),Uᵢ(A) = (1 - Vᵢᵢ)πᵢᴬ^γ₁ + Vᵢᵢ × ((πᵢᴬ + πⱼᴬ)/2)^γ₁
30,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,"(30,)",(),"Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ)^γ₁ - αᵢⱼ × (max(πⱼᴬ - πᵢᴬ, 0)^γ₃ + max(πᵢᴬ - πⱼᴬ, 0)^γ₃)"
31,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,1,"(31,)",(),"Uᵢ(A) = Vᵢᵢ(πᵢᴬ)^γ₁ - αᵢⱼ × (max(πⱼᴬ - πᵢᴬ, 0)^γ₃ + max(πᵢᴬ - πⱼᴬ, 0)^γ₃)"
32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,"(32,)",(),"Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ) - αᵢⱼ × (max(πⱼᴬ - πᵢᴬ, 0) + max(πᵢᴬ - πⱼᴬ, 0))"
33,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,1,"(33,)",(),"Uᵢ(A) = Vᵢᵢ(πᵢᴬ - πᵢᴮ)^γ₁ - αᵢⱼ × (max(πⱼᴬ - πᵢᴬ, 0)^γ₁ + max(πᵢᴬ - πⱼᴬ, 0)^γ₁)"
34,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,1,"(34,)",(),"Uᵢ(A) = Vᵢᵢ(πᵢᴬ) - αᵢⱼ × (max(πⱼᴬ - πᵢᴬ, 0) + max(πᵢᴬ - πⱼᴬ, 0))"
