utility_idx,payoff_idx,payoff_A_self,payoff_A_other,payoff_B_self,payoff_B_other,U_function,Code-side values are still availableutility_code,utility_str,utility_Δ,match,status,conditional_welfare_mode,reference_dependent_altruism,min_max_rawlsian_leontief,use_exponential_parameters,apply_exponents_to_payoffs,single_exponential_parameter,single_payoffs_not_differences,payoff_ratios_not_differences,reference_dependent_utility,use_negativity_parameters,negativity_social_comparison,fix_self_interest_parameter,include_social_comparison,include_altruism_term
1,1,5,4,4,5,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,2,4,2,4,3,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,3,4,1,1,3,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,4,2,4,2,5,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,5,5,3,5,4,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,6,4,2,4,4,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,7,2,3,2,3,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,8,1,2,3,2,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,9,3,3,3,1,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,10,5,2,3,1,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,11,2,5,1,4,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,12,3,1,4,1,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,13,3,3,4,3,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,14,3,2,5,2,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,15,5,2,3,1,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,16,4,2,1,4,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,17,1,4,2,5,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,18,5,4,3,2,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,19,2,3,4,3,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,20,5,2,5,4,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1,5,4,4,5,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,2,4,2,4,3,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,3,4,1,1,3,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,4,2,4,2,5,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,5,5,3,5,4,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,6,4,2,4,4,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,7,2,3,2,3,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,8,1,2,3,2,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,9,3,3,3,1,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,10,5,2,3,1,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,11,2,5,1,4,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,12,3,1,4,1,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,13,3,3,4,3,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,14,3,2,5,2,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,15,5,2,3,1,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,16,4,2,1,4,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,17,1,4,2,5,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,18,5,4,3,2,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,19,2,3,4,3,Uᵢ(A),,,,False,BUILD ERROR: TypeError: build_utility_equation() got an unexpected keyword argument 'in_latex',False,False,False,False,False,True,False,False,False,True,False,False,False,False
