sample_ratio,param_key,correlation,n_predictors,n_games_per_dyad,k_params
0.1,Vᵢᵢ,0.9944078111556529,4,6,7
0.1,Vᵢᵢ_std,0.4089829885813685,4,6,7
0.1,Vᵢⱼ,0.9984681696501498,4,6,7
0.1,Vᵢⱼ_std,0.9939810437340912,4,6,7
0.1,Ʒᵢⱼ,0.9883039406487014,4,6,7
0.1,Ʒᵢⱼ_std,0.998002440977976,4,6,7
0.1,Ƹᵢⱼ,0.998277557737462,4,6,7
0.1,Ƹᵢⱼ_std,0.9952962173452757,4,6,7
0.1,γ1,0.9400140030072859,4,6,7
0.1,γ1_std,0.612027373651961,4,6,7
0.1,γ2,0.9425301979915237,4,6,7
0.1,γ2_std,0.907146155129028,4,6,7
0.1,γ3,0.9694181940420368,4,6,7
0.1,γ3_std,0.1552641715149639,4,6,7
