,Experiment,Participant_ID,Participant_Number,Trial_Number,Triplet_ID,Observation_Phase,Response_Phase,Atomic_Choice,Description,Symbol,Color_Fill,Color_Line,Avatar_Pic,Avatar_Type,Avatar_SO,Avatar,Choice,Cs,Co,Rs,Ro,As_OP,Ao_OP,Bs_OP,Bo_OP,As_RP,Ao_RP,Bs_RP,Bo_RP,Sure_Thing,PDS_Choice,PDO_Choice,OD_Choice,PDS_OP,PDO_OP,OD_A_OP,PDS_RP,PDO_RP,OD_A_RP,OD_B_OP,OD_B_RP,Absolute_Total_OP,Absolute_Total_RP,Choice_Degrees,A_Degrees,B_Degrees,Conflict_Pred_Sim,OD_Pred_Sim,Trial_order,Trial_order_segment,Triplet_Order,Vertical_Position,RightSideUpDown,Key_Press,Prediction,Prediction_RT,Betting_Choice,Betting_RT,Response_Combo,Prediction_Combo,Betting_Combo,Betting_Rationality,Betting_Probability,Subjective_Probability,Subjective_Prob_Range,Subjective_Prob_Bits,Catch,Caught,Instruction_Time,Instruction_Answers,Missed_Instruction_Qs,MM/DD/YYYY,Trust1,Trust2,Cheat,Donate
0,2,0608bvn,1,1,1,Win-win vs Malicious,Borderline,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Gainful vs Masochistic:<br>Table A: (5, 3)<br>Table B: (1, 3)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,5,3,1,3,2,4,2,1,4,2,1,4,0,2,-1,-2,12,12,26.57,0.0,180.0,0.1444,0.25,42,3,2,"""00""",UU,AK,1,1.629,0,0.991,EO,OOO,BHH,1,0.333,0.5,"[1,1,1,1]",0,1,1,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
1,2,0608bvn,1,2,1,Win-win vs Malicious,Borderline,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Gainful vs Masochistic:<br>Table A: (5, 3)<br>Table B: (1, 3)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,5,3,1,3,3,4,2,1,4,2,1,4,0,2,-1,-2,12,12,26.57,0.0,180.0,0.1444,0.25,62,4,3,"""10""",DU,AK,1,0.907,0,1.015,EO,OOO,BHH,1,0.333,0.5,"[1,1,1,1]",0,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
2,2,0608bvn,1,3,1,Win-win vs Malicious,Borderline,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Gainful vs Masochistic:<br>Table A: (5, 3)<br>Table B: (1, 3)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,5,3,1,3,4,4,2,1,4,2,1,4,0,2,-1,-2,12,12,26.57,0.0,180.0,0.1444,0.25,26,2,1,"""11""",DD,ZJ,1,1.338,1,1.529,AO,OOO,BHH,1,0.333,1.0,"[0,0,0,4]",2,1,1,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
3,2,0608bvn,1,4,2,Win-win vs Malicious,Aligned,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Win-win vs Malicious:<br>Table A: (5, 5)<br>Table B: (1, 1)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle-cross,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,5,5,1,1,2,4,2,1,4,2,1,4,4,0,-1,0,12,12,26.57,45.0,225.0,0.0872,0.5,95,6,1,"""00""",UU,AJ,1,1.151,1,0.77,AO,OOO,BHB,0,0.5,0.833,"[0,0,2,2]",1,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
4,2,0608bvn,1,5,2,Win-win vs Malicious,Aligned,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Win-win vs Malicious:<br>Table A: (5, 5)<br>Table B: (1, 1)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle-cross,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,5,5,1,1,3,4,2,1,4,2,1,4,4,0,-1,0,12,12,26.57,45.0,225.0,0.0872,0.5,104,7,2,"""01""",UD,ZK,1,1.182,0,1.228,EO,OOO,BHB,0,0.5,0.5,"[1,1,1,1]",0,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
5,2,0608bvn,1,6,2,Win-win vs Malicious,Aligned,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Win-win vs Malicious:<br>Table A: (5, 5)<br>Table B: (1, 1)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle-cross,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,5,5,1,1,4,4,2,1,4,2,1,4,4,0,-1,0,12,12,26.57,45.0,225.0,0.0872,0.5,149,10,3,"""11""",DD,ZJ,1,0.897,1,0.124,AO,OOO,BHB,0,0.5,1.0,"[0,0,0,4]",2,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
6,2,0608bvn,1,7,3,Win-win vs Malicious,Borderline,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Benevolent vs Sadistic:<br>Table A: (3, 5)<br>Table B: (3, 1)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,3,5,3,1,2,4,2,1,4,2,1,0,4,-2,-1,2,12,12,26.57,90.0,270.0,0.7922,0.25,158,10,3,"""11""",DU,AK,0,2.622,0,1.269,ET,PPP,HHH,1,0.0,0.0,"[4,0,0,0]",2,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
7,2,0608bvn,1,8,3,Win-win vs Malicious,Borderline,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Benevolent vs Sadistic:<br>Table A: (3, 5)<br>Table B: (3, 1)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,3,5,3,1,3,4,2,1,4,2,1,0,4,-2,-1,2,12,12,26.57,90.0,270.0,0.7922,0.25,111,7,1,"""11""",DU,AK,0,2.451,0,0.927,ET,PPP,HHH,1,0.0,0.167,"[2,2,0,0]",1,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
8,2,0608bvn,1,9,3,Win-win vs Malicious,Borderline,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Benevolent vs Sadistic:<br>Table A: (3, 5)<br>Table B: (3, 1)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,3,5,3,1,4,4,2,1,4,2,1,0,4,-2,-1,2,12,12,26.57,90.0,270.0,0.7922,0.25,112,7,2,"""00""",UD,ZK,0,3.211,0,2.118,ET,PPP,HHH,1,0.0,0.167,"[2,2,0,0]",1,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
9,2,0608bvn,1,10,4,Win-win vs Malicious,Conflicted,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Helpful vs Selfish:<br>Table A: (1, 5)<br>Table B: (5, 1)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle-x,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,1,5,5,1,2,4,2,1,4,2,1,-4,4,-4,-1,4,12,12,26.57,135.0,315.0,0.7261,0.375,88,6,3,"""00""",UD,ZK,0,2.071,0,0.982,ET,PPP,HHH,1,0.0,0.0,"[4,0,0,0]",2,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
10,2,0608bvn,1,11,4,Win-win vs Malicious,Conflicted,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Helpful vs Selfish:<br>Table A: (1, 5)<br>Table B: (5, 1)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle-x,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,1,5,5,1,3,4,2,1,4,2,1,-4,4,-4,-1,4,12,12,26.57,135.0,315.0,0.7261,0.375,73,5,2,"""10""",DD,ZK,0,1.277,0,1.069,ET,PPP,HHH,1,0.0,0.167,"[2,2,0,0]",1,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
11,2,0608bvn,1,12,4,Win-win vs Malicious,Conflicted,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (5, 4) - Win-win<br>Reject:   (1, 2) - Malicious<br><br>Response Phase<br>Helpful vs Selfish:<br>Table A: (1, 5)<br>Table B: (5, 1)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 4, <br>Payoff Difference Other: 2, <br>Outcome Disparity: 1",circle-x,"hsla(26, 65%, 70%, 0.85)","hsla(26, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,5,4,1,2,5,4,1,2,1,5,5,1,4,4,2,1,4,2,1,-4,4,-4,-1,4,12,12,26.57,135.0,315.0,0.7261,0.375,66,5,1,"""10""",DD,ZK,0,1.209,0,0.725,ET,PPP,HHH,1,0.0,0.167,"[2,2,0,0]",1,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
12,2,0608bvn,1,13,5,Win-win vs Malicious,Borderline,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (4, 5) - Win-win<br>Reject:   (2, 1) - Malicious<br><br>Response Phase<br>Gainful vs Masochistic:<br>Table A: (5, 3)<br>Table B: (1, 3)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 2, <br>Payoff Difference Other: 4, <br>Outcome Disparity: -1",circle,"hsla(63, 65%, 70%, 0.85)","hsla(63, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,4,5,2,1,4,5,2,1,5,3,1,3,2,2,4,-1,2,4,-1,4,0,2,1,-2,12,12,63.43,0.0,180.0,0.35,0.75,92,6,3,"""11""",DD,ZJ,1,3.394,1,1.661,AO,OOO,HBB,0,0.5,0.833,"[0,0,2,2]",1,1,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
13,2,0608bvn,1,14,5,Win-win vs Malicious,Borderline,Win-win,"Utilitarian Avatar:<br>Value for Self: 1<br>Value for Other: 1<br><br>Observation Phase<br>Win-win vs Malicious:<br>Choice:  (4, 5) - Win-win<br>Reject:   (2, 1) - Malicious<br><br>Response Phase<br>Gainful vs Masochistic:<br>Table A: (5, 3)<br>Table B: (1, 3)<br><br>Payoff Dimensions: <br>Payoff Difference Self: 2, <br>Payoff Difference Other: 4, <br>Outcome Disparity: -1",circle,"hsla(63, 65%, 70%, 0.85)","hsla(63, 65%, 50%, 0.85)",Blueish Bowtie,Utilitarian Avatar,"(1, 1)",1,0,4,5,2,1,4,5,2,1,5,3,1,3,3,2,4,-1,2,4,-1,4,0,2,1,-2,12,12,63.43,0.0,180.0,0.35,0.75,81,6,2,"""11""",DD,ZJ,1,1.211,1,1.916,AO,OOO,HBB,0,0.5,0.833,"[0,0,2,2]",1,0,0,511,FFTTFFTT,0,03/23/2022,ABCD,ACBD,DCBA,ABCD
